time,symbol,event,score,state,bias,allow_trend,allow_mean_reversion,flip_count,dir_5m_1,dir_5m_2,dir_5m_3,dir_5m_4,dir_5m_5,dir_5m_6,dir_15m,dir_30m,vwap_dist_5m,vwap_dist_15m,vwap_dist_30m,vwap_dist_1h,sizing_mult,risk_mult,reason,quote_time,bid_price,bid_size,ask_price,ask_size,mid,spread,spread_pct_mid
2026-02-20T08:55:00-05:00,TQQQ,5m_close,1.44,CONFIRMED,BOTH,0,1,2,-1,0,0,-1,1,-1,1,-1,0.03217607051949894,-0.08520617449742299,nan,nan,1.0,1.0,15m near VWAP (-0.09%): bias=BOTH; favor reversion,2026-02-20T09:00:59.726476-05:00,48.25,800.0,48.27,800.0,48.260000000000005,0.020000000000003126,0.041442188147540665
2026-02-20T08:00:00-05:00,OPEN,1h_close,1.2,CONFIRMED,SHORT_ONLY,1,1,2,1,1,-1,-1,1,1,-1,1,-1.325269420888936,-1.1111683918282749,nan,nan,1.0,1.0,15m bias=SHORT_ONLY from VWAP (-1.11%),2026-02-20T09:00:57.762912-05:00,5.39,100.0,5.4,100.0,5.395,0.010000000000000675,0.1853568118628485
2026-02-20T08:31:00-05:00,OPEN,30m_close,1.44,CONFIRMED,SHORT_ONLY,1,1,2,1,1,-1,-1,1,1,-1,-1,-1.325269420888936,-1.1111683918282749,nan,nan,1.0,1.0,15m bias=SHORT_ONLY from VWAP (-1.11%),2026-02-20T09:00:57.762912-05:00,5.39,100.0,5.4,100.0,5.395,0.010000000000000675,0.1853568118628485
2026-02-20T08:46:00-05:00,OPEN,15m_close,1.44,CONFIRMED,SHORT_ONLY,1,1,2,1,1,-1,-1,1,1,1,-1,-1.325269420888936,-0.5260476572823113,nan,nan,1.0,1.0,15m bias=SHORT_ONLY from VWAP (-0.53%),2026-02-20T09:00:57.762912-05:00,5.39,100.0,5.4,100.0,5.395,0.010000000000000675,0.1853568118628485
2026-02-20T08:55:00-05:00,OPEN,5m_close,1.44,CONFIRMED,SHORT_ONLY,1,1,2,1,1,-1,-1,1,1,1,-1,-0.5082314309604232,-0.5260476572823113,nan,nan,1.0,1.0,15m bias=SHORT_ONLY from VWAP (-0.53%),2026-02-20T09:00:57.762912-05:00,5.39,100.0,5.4,100.0,5.395,0.010000000000000675,0.1853568118628485
2026-02-20T08:00:00-05:00,RGTI,1h_close,1.2,CONFIRMED,SHORT_ONLY,1,1,0,-1,0,0,0,0,0,-1,1,-0.6600492013531903,-1.5500453715148637,nan,nan,1.0,1.0,15m bias=SHORT_ONLY from VWAP (-1.55%),2026-02-20T09:01:58.138754-05:00,16.31,200.0,16.33,100.0,16.32,0.019999999999999574,0.12254901960784054
2026-02-20T08:32:00-05:00,RGTI,30m_close,1.44,CONFIRMED,SHORT_ONLY,1,1,0,-1,0,0,0,0,0,-1,-1,-0.6600492013531903,-1.5500453715148637,nan,nan,1.0,1.0,15m bias=SHORT_ONLY from VWAP (-1.55%),2026-02-20T09:01:58.138754-05:00,16.31,200.0,16.33,100.0,16.32,0.019999999999999574,0.12254901960784054
2026-02-20T08:47:00-05:00,RGTI,15m_close,1.44,CONFIRMED,SHORT_ONLY,1,1,0,-1,0,0,0,0,0,1,-1,-0.6600492013531903,-0.15730261665253636,nan,nan,1.0,1.0,15m bias=SHORT_ONLY from VWAP (-0.16%),2026-02-20T09:01:58.138754-05:00,16.31,200.0,16.33,100.0,16.32,0.019999999999999574,0.12254901960784054
2026-02-20T08:55:00-05:00,RGTI,5m_close,1.44,CONFIRMED,SHORT_ONLY,1,1,0,-1,0,0,0,0,0,1,-1,-0.08943945391559958,-0.15730261665253636,nan,nan,1.0,1.0,15m bias=SHORT_ONLY from VWAP (-0.16%),2026-02-20T09:01:58.138754-05:00,16.31,200.0,16.33,100.0,16.32,0.019999999999999574,0.12254901960784054
2026-02-20T09:00:00-05:00,QQQ,5m_close,1.2,CONFIRMED,BOTH,1,1,0,-1,-1,0,0,0,0,1,-1,0.1015837108284471,nan,nan,nan,1.0,1.0,15m bias=BOTH from VWAP (nan%),2026-02-20T09:05:59.701270-05:00,601.29,280.0,601.37,280.0,601.3299999999999,0.08000000000004093,0.013303843147696098
