[WARN] Stream symbol cap hit (30). Dropping market symbols: ['IWM', 'SPY', 'VIXY', 'VTI']
Streaming 1m bars + live quotes for 30 symbols on feed=DataFeed.IEX ...
CLOSED-BAR ONLY: eligibility + features updated ONLY on closed 5m/15m/30m/1h bars.
VWAP thresholds: extreme=1.25%  near=0.10%
Gates: MIN_DAY_VOLUME=300,000  MIN_PCT_CHG=0.75% (abs from day open)
TradeQual: MAX_SPREAD_PCT=0.200%  QUOTE_MAX_AGE_SEC=8  MIN_RR=1.80
Webhook -> FastAPI: ENABLED url=http://127.0.0.1:8000/api/events
MarketDirection: decision_time=10:10 ET tickers: SP_FUT=SPY, NYSE=VTI, DJ=DIA, SP500=SPY, NASDAQ=QQQ, IWM=IWM, VIX=VIXY
Pre-decision: bars/features only. Post-decision: eligibility/session_state/trade_signals enabled.
Regime benchmark symbol: AUTO (select first CONFIRMED at 30m)
[MARKET] Market direction locked @ 11:42 score=-0.675 (vix_penalty=0.000) -> SHORT_ONLY
[1H CLOSED] QBTS 11:42 close=20.53
[30M CLOSED] QBTS 11:42 close=20.53
[15M CLOSED] QBTS 11:45 close=20.53
[5M CLOSED] QBTS 11:55 close=20.53
[1H CLOSED] UBER 11:42 close=74.90
[30M CLOSED] UBER 11:42 close=74.90
[15M CLOSED] UBER 11:45 close=74.90
[5M CLOSED] UBER 11:55 close=74.90
[1H CLOSED] XLV 11:42 close=156.80
[30M CLOSED] XLV 11:42 close=156.80
[15M CLOSED] XLV 11:45 close=156.80
[5M CLOSED] XLV 11:55 close=156.80
[1H CLOSED] NVD 11:42 close=6.88
[30M CLOSED] NVD 11:42 close=6.88
[15M CLOSED] NVD 11:45 close=6.88
[5M CLOSED] NVD 11:55 close=6.88
[1H CLOSED] QQQ 11:42 close=606.34
[30M CLOSED] QQQ 11:42 close=606.34
[15M CLOSED] QQQ 11:45 close=606.34
[5M CLOSED] QQQ 11:55 close=606.34
[1H CLOSED] UNG 11:47 close=11.25
[30M CLOSED] UNG 11:47 close=11.25
[15M CLOSED] UNG 11:47 close=11.25
[5M CLOSED] UNG 11:58 close=11.25
[1H CLOSED] RGTI 11:42 close=18.69
[30M CLOSED] RGTI 11:42 close=18.69
[15M CLOSED] RGTI 11:45 close=18.69
[5M CLOSED] RGTI 11:55 close=18.69
[1H CLOSED] NGD 11:42 close=12.46
[30M CLOSED] NGD 11:42 close=12.46
[15M CLOSED] NGD 11:45 close=12.46
[5M CLOSED] NGD 11:55 close=12.46
[1H CLOSED] DIA 11:42 close=493.47
[30M CLOSED] DIA 11:42 close=493.47
[15M CLOSED] DIA 11:46 close=493.47
[5M CLOSED] DIA 11:55 close=493.47
[1H CLOSED] NKTR 11:44 close=67.93
[30M CLOSED] NKTR 11:44 close=67.93
[15M CLOSED] NKTR 11:55 close=67.93
[5M CLOSED] NKTR 11:55 close=67.93
[5M CLOSED] UBER 13:01 close=75.20
[5M CLOSED] QQQ 13:01 close=605.24
[5M CLOSED] QBTS 13:01 close=20.17
[5M CLOSED] TQQQ 13:01 close=49.03
[5M CLOSED] RGTI 13:02 close=18.30
[5M CLOSED] DIA 13:02 close=492.50
[5M CLOSED] LUNR 13:01 close=17.09
[5M CLOSED] IAG 13:01 close=23.65
[5M CLOSED] NVD 13:01 close=6.87
[5M CLOSED] NGD 13:02 close=12.46
[5M CLOSED] OPEN 13:01 close=5.16
[5M CLOSED] IONQ 13:01 close=40.18
[5M CLOSED] XLE 13:01 close=55.27
[5M CLOSED] NKTR 13:03 close=66.68
[5M CLOSED] SOUN 13:01 close=8.62
[5M CLOSED] XLV 13:01 close=156.12
[5M CLOSED] OUST 13:01 close=18.49
[1H CLOSED] CHAT 11:45 close=64.22
[30M CLOSED] CHAT 11:45 close=64.22
[15M CLOSED] CHAT 11:45 close=64.22
[5M CLOSED] CHAT 11:57 close=64.22
[5M CLOSED] UNG 13:02 close=11.30
[5M CLOSED] XLV 13:05 close=156.20
[5M CLOSED] IAG 13:05 close=23.59
[5M CLOSED] NKTR 13:05 close=66.33
[5M CLOSED] UBER 13:05 close=75.35
[5M CLOSED] TQQQ 13:05 close=48.96
[5M CLOSED] LUNR 13:05 close=16.98
[5M CLOSED] SOUN 13:05 close=8.63
[5M CLOSED] QQQ 13:05 close=605.01
[5M CLOSED] RGTI 13:05 close=18.38
[5M CLOSED] XLE 13:05 close=55.33
[5M CLOSED] IONQ 13:05 close=40.33
[5M CLOSED] QBTS 13:05 close=20.26
[5M CLOSED] NGD 13:05 close=12.44
[5M CLOSED] DIA 13:05 close=492.62
[5M CLOSED] NVD 13:05 close=6.91
[5M CLOSED] OPEN 13:05 close=5.18
[5M CLOSED] UNG 13:08 close=11.34
[15M CLOSED] RGTI 13:02 close=18.30
[5M CLOSED] RGTI 13:10 close=18.30
[15M CLOSED] SOUN 13:01 close=8.64
[5M CLOSED] SOUN 13:10 close=8.64
[15M CLOSED] DIA 13:02 close=492.93
[5M CLOSED] DIA 13:10 close=492.93
[15M CLOSED] QQQ 13:01 close=605.07
[5M CLOSED] QQQ 13:10 close=605.07
[15M CLOSED] LUNR 13:01 close=17.14
[5M CLOSED] LUNR 13:10 close=17.14
[15M CLOSED] IONQ 13:01 close=40.33
[5M CLOSED] IONQ 13:10 close=40.33
[15M CLOSED] XLV 13:01 close=156.40
[5M CLOSED] XLV 13:10 close=156.40
[15M CLOSED] UBER 13:01 close=75.14
[5M CLOSED] UBER 13:10 close=75.14
[15M CLOSED] OUST 13:01 close=18.42
[5M CLOSED] OUST 13:07 close=18.42
[15M CLOSED] XLE 13:01 close=55.41
[5M CLOSED] XLE 13:10 close=55.41
[15M CLOSED] QBTS 13:01 close=20.12
[5M CLOSED] QBTS 13:10 close=20.12
[15M CLOSED] IAG 13:01 close=23.48
[5M CLOSED] IAG 13:10 close=23.48
[15M CLOSED] TQQQ 13:01 close=48.97
[5M CLOSED] TQQQ 13:10 close=48.97
[15M CLOSED] NVD 13:01 close=6.92
[5M CLOSED] NVD 13:10 close=6.92
[15M CLOSED] NKTR 13:03 close=66.03
[5M CLOSED] NKTR 13:10 close=66.03
[15M CLOSED] BUZZ 13:13 close=30.79
[5M CLOSED] BUZZ 13:13 close=30.79
[15M CLOSED] OPEN 13:01 close=5.17
[5M CLOSED] OPEN 13:11 close=5.17
[15M CLOSED] NGD 13:02 close=12.47
[5M CLOSED] NGD 13:10 close=12.47
[1H CLOSED] QTUM 11:42 close=117.06
[30M CLOSED] QTUM 11:42 close=117.06
[15M CLOSED] QTUM 11:47 close=117.06
[5M CLOSED] QTUM 11:56 close=117.06
[15M CLOSED] UNG 13:02 close=11.34
[5M CLOSED] UNG 13:14 close=11.34
[5M CLOSED] IONQ 13:15 close=40.45
[5M CLOSED] OPEN 13:16 close=5.21
[5M CLOSED] QQQ 13:15 close=605.58
[5M CLOSED] NVD 13:15 close=6.92
[5M CLOSED] UBER 13:15 close=75.28
[5M CLOSED] NKTR 13:16 close=65.79
[5M CLOSED] UNG 13:19 close=11.31
[5M CLOSED] NGD 13:16 close=12.46
[5M CLOSED] OUST 13:15 close=18.54
[5M CLOSED] XLE 13:15 close=55.34
[5M CLOSED] TQQQ 13:15 close=49.11
[5M CLOSED] RGTI 13:15 close=18.38
[5M CLOSED] XLV 13:15 close=156.41
[5M CLOSED] QBTS 13:15 close=20.18
[5M CLOSED] SOUN 13:15 close=8.67
[5M CLOSED] DIA 13:15 close=492.96
[5M CLOSED] LUNR 13:15 close=17.20
[5M CLOSED] IAG 13:15 close=23.54
[15M CLOSED] CHAT 13:08 close=63.99
[5M CLOSED] CHAT 13:08 close=63.99
[1H CLOSED] QBTS 13:01 close=20.03
[30M CLOSED] QBTS 13:01 close=20.03
[15M CLOSED] QBTS 13:15 close=20.03
[5M CLOSED] QBTS 13:20 close=20.03
[1H CLOSED] LUNR 13:01 close=17.13
[30M CLOSED] LUNR 13:01 close=17.13
[15M CLOSED] LUNR 13:15 close=17.13
[5M CLOSED] LUNR 13:21 close=17.13
[1H CLOSED] RGTI 13:02 close=18.32
[30M CLOSED] RGTI 13:02 close=18.32
[15M CLOSED] RGTI 13:15 close=18.32
[5M CLOSED] RGTI 13:20 close=18.32
[1H CLOSED] NVD 13:01 close=6.92
[30M CLOSED] NVD 13:01 close=6.92
[15M CLOSED] NVD 13:15 close=6.92
[5M CLOSED] NVD 13:20 close=6.92
[1H CLOSED] NGD 13:02 close=12.47
[30M CLOSED] NGD 13:02 close=12.47
[15M CLOSED] NGD 13:16 close=12.47
[5M CLOSED] NGD 13:20 close=12.47
[1H CLOSED] UBER 13:01 close=75.19
[30M CLOSED] UBER 13:01 close=75.19
[15M CLOSED] UBER 13:15 close=75.19
[5M CLOSED] UBER 13:20 close=75.19
[1H CLOSED] DIA 13:02 close=493.03
[30M CLOSED] DIA 13:02 close=493.03
[15M CLOSED] DIA 13:15 close=493.03
[5M CLOSED] DIA 13:21 close=493.03
[1H CLOSED] XLE 13:01 close=55.36
[30M CLOSED] XLE 13:01 close=55.36
[15M CLOSED] XLE 13:15 close=55.36
[5M CLOSED] XLE 13:20 close=55.36
[1H CLOSED] IONQ 13:01 close=40.20
[30M CLOSED] IONQ 13:01 close=40.20
[15M CLOSED] IONQ 13:15 close=40.20
[5M CLOSED] IONQ 13:20 close=40.20
[1H CLOSED] IAG 13:01 close=23.55
[30M CLOSED] IAG 13:01 close=23.55
[15M CLOSED] IAG 13:15 close=23.55
[5M CLOSED] IAG 13:22 close=23.55
[1H CLOSED] SOUN 13:01 close=8.65
[30M CLOSED] SOUN 13:01 close=8.65
[15M CLOSED] SOUN 13:15 close=8.65
