trade_date,trade_time_utc,symbol,side,qty,fill_model,fill_price,close_price,notional,pnl_to_close,return_on_notional,equity_open,planned_notional,executed_notional,cap_dollars
2026-02-10,2026-02-10T14:30:00+00:00,RGTI,buy,17.0,next_open,17.3,16.98,294.1,-5.440000000000005,-0.01849710982658961,42947.22500000003,16576.43,849.34,858.9445000000005
2026-02-11,2026-02-11T14:30:00+00:00,NVD,buy,40.0,next_open,6.48,6.64,259.20000000000005,6.39999999999997,0.02469135802469124,41777.065000000024,15271.935000000001,828.665,835.5413000000005
2026-02-11,2026-02-11T14:30:00+00:00,OPEN,buy,59.0,next_open,4.745,4.745,279.955,0.0,0.0,41777.065000000024,15271.935000000001,828.665,835.5413000000005
2026-02-11,2026-02-11T14:30:00+00:00,RGTI,buy,17.0,next_open,17.03,16.47,289.51,-9.520000000000039,-0.032883147386964316,41777.065000000024,15271.935000000001,828.665,835.5413000000005
2026-02-12,2026-02-12T14:30:00+00:00,NVD,buy,36.0,next_open,6.435,6.86,231.66,15.300000000000026,0.06604506604506616,39417.670000000035,12885.939999999999,780.98,788.3534000000008
2026-02-12,2026-02-12T14:30:00+00:00,OPEN,buy,55.0,next_open,4.73,4.38,260.15000000000003,-19.25000000000003,-0.07399577167019038,39417.670000000035,12885.939999999999,780.98,788.3534000000008
2026-02-12,2026-02-12T14:30:00+00:00,RGTI,buy,18.0,next_open,16.065,14.975,289.17,-19.62000000000003,-0.06784936196700912,39417.670000000035,12885.939999999999,780.98,788.3534000000008
2026-02-13,2026-02-13T14:30:00+00:00,NVD,buy,26.0,next_open,6.82,7.17,177.32,9.09999999999999,0.05131964809384159,37275.39000000002,10520.91,725.935,745.5078000000004
2026-02-13,2026-02-13T14:30:00+00:00,OPEN,buy,61.0,next_open,4.445,4.445,271.14500000000004,0.0,0.0,37275.39000000002,10520.91,725.935,745.5078000000004
2026-02-13,2026-02-13T14:30:00+00:00,RGTI,buy,18.0,next_open,15.415,16.09,277.46999999999997,12.150000000000013,0.04378851767758682,37275.39000000002,10520.91,725.935,745.5078000000004
2026-02-17,2026-02-17T14:30:00+00:00,NVD,buy,21.0,next_open,7.25,7.0,152.25,-5.25,-0.034482758620689655,37786.175000000025,9830.369999999999,742.44,755.7235000000005
2026-02-17,2026-02-17T14:30:00+00:00,OPEN,buy,68.0,next_open,4.34,4.32,295.12,-1.359999999999971,-0.004608294930875478,37786.175000000025,9830.369999999999,742.44,755.7235000000005
2026-02-17,2026-02-17T14:30:00+00:00,RGTI,buy,19.0,next_open,15.53,15.56,295.07,0.5700000000000216,0.0019317450096587984,37786.175000000025,9830.369999999999,742.44,755.7235000000005
2026-02-18,2026-02-18T14:30:00+00:00,NVD,buy,26.0,next_open,6.73,6.78,174.98000000000002,1.2999999999999954,0.007429420505200567,36063.17000000003,8218.875,705.4950000000001,721.2634000000006
2026-02-18,2026-02-18T14:30:00+00:00,OPEN,buy,61.0,next_open,4.355,4.62,265.65500000000003,16.16499999999998,0.06084959816303092,36063.17000000003,8218.875,705.4950000000001,721.2634000000006
2026-02-18,2026-02-18T14:30:00+00:00,RGTI,buy,17.0,next_open,15.58,16.13,264.86,9.349999999999982,0.03530166880616167,36063.17000000003,8218.875,705.4950000000001,721.2634000000006
2026-02-19,2026-02-19T14:30:00+00:00,NVD,buy,26.0,next_open,6.84,6.77,177.84,-1.8200000000000074,-0.010233918128655012,36460.610000000015,7294.7300000000005,705.2149999999999,729.2122000000003
2026-02-19,2026-02-19T14:30:00+00:00,OPEN,buy,57.0,next_open,4.525,4.64,257.925,6.5549999999999615,0.025414364640883827,36460.610000000015,7294.7300000000005,705.2149999999999,729.2122000000003
2026-02-19,2026-02-19T14:30:00+00:00,RGTI,buy,17.0,next_open,15.85,16.61,269.45,12.919999999999996,0.047949526813880115,36460.610000000015,7294.7300000000005,705.2149999999999,729.2122000000003
2026-02-20,2026-02-20T14:30:00+00:00,NVD,buy,38.0,next_open,6.88,6.65,261.44,-8.739999999999982,-0.03343023255813947,39120.56500000002,6901.15,763.0,782.4113000000003
2026-02-20,2026-02-20T14:30:00+00:00,OPEN,buy,29.0,next_open,5.47,4.99,158.63,-13.919999999999987,-0.0877513711151736,39120.56500000002,6901.15,763.0,782.4113000000003
2026-02-20,2026-02-20T14:30:00+00:00,RGTI,buy,21.0,next_open,16.33,15.94,342.92999999999995,-8.189999999999975,-0.023882424984690682,39120.56500000002,6901.15,763.0,782.4113000000003
